X,Y,PARENT_REF,PARENT_R_1,AGENCY_REF,AGENCY_NAM,AGENCY_N_1,ADDRESS,CITY,STATE,ZIPCODE,ADDRESS_FU,PROGRAM,SHOPPING_L,FAMILY_MAR,JOYFUL_MAR,GROCERY_PL,HEALTH_CAR,MOBILE_MAR,PARTNER_DI,WEEKEND_BA,TOTAL_POUN,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,BROWN_BAG,KIDS_CAFE,COMMUNITY,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,OBJECTID,EDITED
-8583014.488625,4749130.06446556,1010,0,1010-58,Oak Grove AME Zion Church, ,20400 Zion Road,Gathersburg,MD,20882,20400 Zion Road  Gathersburg MD 20882,Shopping,3733.25, , , , ,0,0, ,3733.25,,,,,,0, , ,Emergency_Food_Providers_150,{0B89E1CE-7404-4884-9592-FDD6FEDC4C32},,,,1,
-8593895.24535187,4748363.53553953,4120,0,4120-FM,Montgomery Village Middle School, ,19300 Watkins Mill Rd.,Silver Spring,MD,20886,19300 Watkins Mill Rd. Silver Spring MD 20886,Direct Distributions,0,"32,792", , , ,0,0, ,32792.123,,,,,,0, , ,Emergency_Food_Providers_151,{5D1D61E8-8379-4F92-9723-8746B250EB75},,,,2,
-8595641.23676017,4748025.17318091,6969,0,6969-FM,Watkins Mill High School, ,10301 Apple Ridge Rd.,Gaithersburg,MD,20879,10301 Apple Ridge Rd. Gaithersburg MD 20879,Direct Distributions,0,"20,152", , , ,0,0, ,20152.25,,,,,,0, , ,Emergency_Food_Providers_152,{E3B98170-55A6-44B2-81BE-631BEE9D8B92},,,,3,
-8594727.38141517,4746655.8817084,9483,0,9483-01,Women Who Care Ministries, ,19642 Club House Road Ste. 620,Montgomery Villlage,MD,20886,19642 Club House Road Ste. 620 Montgomery Villlage MD 20886,Shopping,9866.628, , , , ,0,0, ,9866.628,,,,,,0, , ,Emergency_Food_Providers_153,{DF39D538-FF77-4837-9575-E7D97DA9E058},,,,4,
-8590812.68709066,4745776.59795613,9624,0,9624-01,Calvary Pentecostal Ministries, ,18919 Earhart Ct.,Gaithersburg,MD,20879,18919 Earhart Ct. Gaithersburg MD 20879,Shopping,8364.33, , , , ,0,0, ,8364.33,,,,,,0, , ,Emergency_Food_Providers_154,{5545B87B-D3AA-492C-BB46-20A6F7E250BA},,,,5,
-8601420.72161332,4744352.59701857,6450,0,6450-01,Langley Park Spanish SDA Church, ,18462 Estone Hollow Dr.,Germantown,MD,20874,18462 Estone Hollow Dr. Germantown MD 20874,Shopping,27086.747, , , , ,0,0, ,27086.747,,,,,,0, , ,Emergency_Food_Providers_155,{28AB1B33-506E-48EB-A30C-5A3C8A443377},,,,6,
-8595074.36395795,4744070.97424898,9608,0,9608-01,Montgomery County Muslim Foundation, ,811 Russell Ave # G,Gaithersburg,MD,20879,811 Russell Ave # G Gaithersburg MD 20879,Shopping,15763.472, , , , ,0,0, ,15763.472,,,,,,0, , ,Emergency_Food_Providers_156,{C565BD2C-FEA2-462A-B1B3-30610A9402DB},,,,7,
-8593509.70200034,4744013.09083951,5201,0,5201-FM,Southlake Elememtary, ,18201 Contour Rd.,Gaithersburg,MD,20877,18201 Contour Rd. Gaithersburg MD 20877,Direct Distributions,0,"46,821", , , ,0,0, ,46820.515,,,,,,0, , ,Emergency_Food_Providers_157,{810E0DA0-B4C5-4F8F-A05E-3D00E36EF961},,,,8,
-8593012.21548399,4741886.07115426,1010,0,1010-64,Wells Robertson House, ,1 Wells Ave,Gaithersburg,MD,20877,1 Wells Ave Gaithersburg MD 20877,Shopping,2363.651, , , , ,0,0, ,2363.651,,,,,,0, , ,Emergency_Food_Providers_158,{CB00F941-8AC9-4E28-AC23-0F7FC38E3514},,,,9,
-8594986.76679796,4741801.44830108,6425,7140,Multiple,The Willows, ,429 West Diamond Ave,Gaithersburg,MD,20877,429 West Diamond Ave Gaithersburg MD 20877,Direct Distributions,0, , , , ,0,0,323,13198.386,,,,,,4600.616,"8,275", ,Emergency_Food_Providers_159,{8C8D846A-518D-4512-A16B-92E1842D3FCB},,,,10,
